index,statefip,axis_x,axis_y,state_abv,state,bpld_1,bpld_2,bpld_3,bpld_4,bpld_5,bpld_pop1,bpld_pop2,bpld_pop3,bpld_pop4,bpld_pop5,bpld_share1,bpld_share2,bpld_share3,bpld_share4,bpld_share5,recent_bpld1,recent_bpld2,recent_bpld3,recent_bpld4,recent_bpld5,recent_bpld_pop1,recent_bpld_pop2,recent_bpld_pop3,recent_bpld_pop4,recent_bpld_pop5,recent_bpld_share1,recent_bpld_share2,recent_bpld_share3,recent_bpld_share4,recent_bpld_share5,language_1,language_2,language_3,language_4,language_5,updateLang,lanPop_1,lanPop_2,lanPop_3,lanPop_4,lanPop_5,lanShare_1,lanShare_2,lanShare_3,lanShare_4,lanShare_5,profEng_pop,profEng_share,engInd,stateHSocc_FB1,stateHSocc_FB2,stateHSocc_FB3,stateHSocc_FB4,stateHSocc_FB5,stateHSocc_FBpop1,stateHSocc_FBpop2,stateHSocc_FBpop3,stateHSocc_FBpop4,stateHSocc_FBpop5,stateHSocc_FBshare1,stateHSocc_FBshare2,stateHSocc_FBshare3,stateHSocc_FBshare4,stateHSocc_FBshare5,stateHSocc_NB1,stateHSocc_NB2,stateHSocc_NB3,stateHSocc_NB4,stateHSocc_NB5,stateHSocc_NBpop1,stateHSocc_NBpop2,stateHSocc_NBpop3,stateHSocc_NBpop4,stateHSocc_NBpop5,stateHSocc_NBshare1,stateHSocc_NBshare2,stateHSocc_NBshare3,stateHSocc_NBshare4,stateHSocc_NBshare5,stateLSocc_FB1,stateLSocc_FB2,stateLSocc_FB3,stateLSocc_FB4,stateLSocc_FB5,stateLSocc_FBpop1,stateLSocc_FBpop2,stateLSocc_FBpop3,stateLSocc_FBpop4,stateLSocc_FBpop5,stateLSocc_FBshare1,stateLSocc_FBshare2,stateLSocc_FBshare3,stateLSocc_FBshare4,stateLSocc_FBshare5,stateLSocc_NB1,stateLSocc_NB2,stateLSocc_NB3,stateLSocc_NB4,stateLSocc_NB5,stateLSocc_NBpop1,stateLSocc_NBpop2,stateLSocc_NBpop3,stateLSocc_NBpop4,stateLSocc_NBpop5,stateLSocc_NBshare1,stateLSocc_NBshare2,stateLSocc_NBshare3,stateLSocc_NBshare4,stateLSocc_NBshare5
0,Alabama,460,468,AL,Alabama,Mexico,Guatemala,India,Korea,China,42065.0,21465.0,11266.0,11049.0,8063.0,0.243457079,0.124231689,0.065203555,0.063947633,0.046665739,Guatemala,Mexico,China,India,Korea,9829.0,6076.0,3671.0,3211.0,2542.0,0.244150236,0.15092653,0.091186844,0.079760544,0.063142732,Spanish,English,Korean,Hindi and related,Chinese,Korean,73182.0,35572.0,9545.0,9500.0,7820.0,42.9%,20.9%,5.6%,5.6%,4.6%,127456,0.7471306320000000,0,Education Occupations,Healthcare Occupations,Management Occupations,Sales-Related Occupations,,6751.0,6391.0,5806.0,2953.0,,0.178739741,0.169208363,0.153719887,0.07818374,,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,96853,92373,79141,46217,41632,0.160081521,0.152676836,0.130806595,0.076388828,0.068810605,Production Occupations,Construction and Extraction Occupations,Food Service Occupations,Grounds Maintenance Occupations,Sales-Related Occupations,12564.0,9492.0,6475.0,5922.0,5457.0,0.194107562,0.146646678,0.100035533,0.09149196,0.084307939,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Production Occupations,Healthcare Occupations,173907,172990,172300,165049,124452,0.118909471,0.118282467,0.117810674,0.112852782,0.085094452
1,Alaska,160,521,AK,Alaska,Philippines,Canada,Mexico,,,17039.0,3462.0,2782.0,,,0.294639468,0.059865121,0.048106518,,,,,,,,,,,,,,,,,,"Filipino, Tagalog",English,Spanish,,,Filipino,15402.0,13840.0,7281.0,,,26.7%,24.0%,12.6%,,,52418,0.907293916,1,,,,,,,,,,,,,,,,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Science Occupations,14268,12594,12042,7473,6073,0.139927626,0.123510547,0.11809703,0.073288418,0.059558485,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Production Occupations,,,4003.0,2881.0,2691.0,,,0.142237857,0.102370039,0.095618807,,,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Construction and Extraction Occupations,Management Occupations,26028,25061,20054,19133,15214,0.122876175,0.11831104,0.09467338,0.090325415,0.071824118
2,Arizona,160,415,AZ,Arizona,Mexico,India,Canada,Philippines,China,518257.0,51071.0,40676.0,33290.0,21269.0,0.533125877,0.052536234,0.041843001,0.034245096,0.021879211,Mexico,India,Canada,China,Philippines,44933.0,22134.0,10578.0,7777.0,4527.0,0.316364974,0.15584141,0.074477747,0.054756422,0.031873774,Spanish,English,Hindi and related,"Filipino, Tagalog",Chinese,Hindi,539861.0,167539.0,34484.0,25778.0,25702.0,55.8%,17.3%,3.6%,2.7%,2.7%,718445,0.7432010170000000,0,Management Occupations,Healthcare Occupations,Computer Occupations,Education Occupations,Engineering Occupations,19550.0,18933.0,18670.0,16828.0,11531.0,0.13102603,0.126890823,0.12512818,0.11278291,0.0772819,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,145329,117420,110005,77316,60273,0.165007085,0.13331911,0.124900088,0.087784871,0.068434186,Grounds Maintenance Occupations,Construction and Extraction Occupations,Transportation and Material Moving Occupations,Office Administrative Occupations,Food Service Occupations,61214.0,57416.0,41803.0,39034.0,32774.0,0.147739649,0.138573185,0.100891307,0.094208337,0.079099864,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Healthcare Occupations,305120,223089,179245,152125,143246,0.162271544,0.118645117,0.095327623,0.080904424,0.076182321
3,Arkansas,340,415,AR,Arkansas,Mexico,El Salvador,India,Philippines,China,63715.0,16368.0,11149.0,4956.0,4622.0,0.412005484,0.105841726,0.072093688,0.032047387,0.029887615,India,Mexico,,,,4306.0,2898.0,,,,0.164974526,0.111030228,,,,Spanish,English,Hindi and related,Dravidian,"Micronesian, Polynesian",Hindi,79257.0,30965.0,4518.0,4444.0,4187.0,51.9%,20.3%,3.0%,2.9%,2.7%,112166,0.734897912,0,Healthcare Occupations,Education Occupations,,,,3996.0,2772.0,,,,0.187517598,0.130079776,,,,Education Occupations,Management Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,58546,52748,42201,29112,25361,0.176608279,0.15911819,0.127302393,0.087818474,0.076503307,Production Occupations,Construction and Extraction Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Grounds Maintenance Occupations,19779.0,10285.0,9229.0,7628.0,6457.0,0.250770211,0.13039951,0.117010891,0.096712433,0.081865788,Transportation and Material Moving Occupations,Office Administrative Occupations,Sales-Related Occupations,Production Occupations,Healthcare Occupations,107815,106304,95492,85993,84419,0.119387068,0.117713891,0.105741411,0.095222853,0.093479916
4,California,100,362,CA,California,Mexico,Philippines,China,Vietnam,India,3940728.0,859394.0,690995.0,538969.0,513180.0,0.373336732,0.081417277,0.065463491,0.051060852,0.048617654,Mexico,China,India,Philippines,El Salvador,211154.0,160236.0,138286.0,90339.0,55918.0,0.169447809,0.128586903,0.110972367,0.072495647,0.044873327,Spanish,English,Chinese,"Filipino, Tagalog",Hindi and related,Chinese,4905704.0,1161830.0,999356.0,737573.0,440646.0,46.7%,11.1%,9.5%,7.0%,4.2%,7353947,0.6999105810000000,0,Management Occupations,Healthcare Occupations,Computer Occupations,Engineering Occupations,Education Occupations,338324.0,285467.0,264522.0,156623.0,156188.0,0.157347187,0.132764548,0.123023473,0.07284198,0.072639666,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,879312,633056,476559,397122,355695,0.176470771,0.127049193,0.095641516,0.079699151,0.071385093,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Construction and Extraction Occupations,Production Occupations,Food Service Occupations,489051.0,439721.0,419567.0,409539.0,372551.0,0.116813213,0.105030395,0.100216478,0.097821221,0.088986382,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Healthcare Occupations,1129657,1003110,775114,653105,626799,0.142522633,0.126556888,0.09779188,0.082398675,0.079079792
5,Colorado,220,362,CO,Colorado,Mexico,India,Korea,China,El Salvador,204332.0,21477.0,19269.0,17592.0,17202.0,0.380270004,0.039969552,0.035860378,0.032739412,0.032013606,Mexico,India,China,Korea,Canada,20480.0,7190.0,4814.0,2679.0,2567.0,0.234528884,0.082337044,0.05512803,0.030678852,0.029396271,Spanish,English,Chinese,Dravidian,Korean,Chinese,243350.0,104088.0,18733.0,14535.0,14377.0,45.6%,19.5%,3.5%,2.7%,2.7%,413316,0.774366856,1,Management Occupations,Computer Occupations,Education Occupations,Healthcare Occupations,Engineering Occupations,20322.0,16678.0,11669.0,11546.0,7201.0,0.166195065,0.136394113,0.095430084,0.094424181,0.058890399,Management Occupations,Healthcare Occupations,Education Occupations,Sales-Related Occupations,Office Administrative Occupations,223029,135112,124833,105768,80623,0.183995768,0.111465491,0.102985457,0.087257102,0.066512838,Construction and Extraction Occupations,Grounds Maintenance Occupations,Food Service Occupations,Production Occupations,Transportation and Material Moving Occupations,37231.0,27874.0,25002.0,22713.0,19679.0,0.159749255,0.119600616,0.107277557,0.097456008,0.084437847,Office Administrative Occupations,Sales-Related Occupations,Management Occupations,Transportation and Material Moving Occupations,Food Service Occupations,193156,171787,147016,135793,134367,0.12802352,0.113860175,0.097441994,0.090003408,0.089058258
6,Connecticut,640,309,CT,Connecticut,India,Jamaica,Ecuador,Dominican Republic,Brazil,43379.0,35823.0,27747.0,27130.0,24464.0,0.082976431,0.068523124,0.053075153,0.05189494,0.04679535,India,Brazil,Dominican Republic,China,Jamaica,14092.0,10996.0,5769.0,5319.0,4561.0,0.146043196,0.113957636,0.05978734,0.055123743,0.047268167,Spanish,English,Hindi and related,Portuguese,French,Hindi,147389.0,134383.0,30330.0,29819.0,22640.0,28.4%,25.9%,5.8%,5.8%,4.4%,423115,0.815997303,1,Management Occupations,Healthcare Occupations,Computer Occupations,Education Occupations,Sales-Related Occupations,19429.0,18740.0,13927.0,11579.0,8817.0,0.147410512,0.142182976,0.105666071,0.087851472,0.066895798,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,118435,98307,70585,52996,40439,0.183566645,0.152369544,0.109402224,0.082140401,0.062677853,Construction and Extraction Occupations,Grounds Maintenance Occupations,Healthcare Occupations,Food Service Occupations,Sales-Related Occupations,25911.0,24629.0,20148.0,19956.0,16346.0,0.134303287,0.127658367,0.104432203,0.103437014,0.084725469,Office Administrative Occupations,Sales-Related Occupations,Healthcare Occupations,Transportation and Material Moving Occupations,Management Occupations,116720,104724,79693,78745,70150,0.134681061,0.120839104,0.091956288,0.090862408,0.080944799
7,Delaware,640,362,DE,Delaware,Mexico,India,Haiti,China,Guatemala,19737.0,11818.0,6418.0,4934.0,3435.0,0.200703695,0.120176129,0.065264039,0.050173379,0.034930192,India,,,,,3199.0,,,,,0.168421611,,,,,Spanish,English,Hindi and related,French,Chinese,Hindi,29305.0,20623.0,10546.0,9669.0,6403.0,30.2%,21.3%,10.9%,10.0%,6.6%,79607,0.82042855,1,Computer Occupations,Healthcare Occupations,Management Occupations,,,4811.0,3298.0,2568.0,,,0.183171526,0.125566348,0.097772703,,,Management Occupations,Healthcare Occupations,Education Occupations,Office Administrative Occupations,Sales-Related Occupations,25975,20431,17707,12799,10748,0.180348128,0.141855344,0.122942224,0.08886528,0.074624896,Grounds Maintenance Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Construction and Extraction Occupations,Food Service Occupations,5060.0,4670.0,3491.0,3405.0,2403.0,0.138618737,0.127934694,0.095635973,0.093280002,0.065830208,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Management Occupations,Healthcare Occupations,37808,27486,25789,21853,21763,0.142488346,0.103587456,0.097191915,0.082358174,0.082018986
8,District of Columbia,640,415,DC,District of Columbia,El Salvador,Dominican Republic,Ethiopia,China,Colombia,9859.0,5523.0,4283.0,3909.0,3618.0,0.115155056,0.064509727,0.050026279,0.045657888,0.042258952,,,,,,,,,,,,,,,,Spanish,English,"Amharic, Ethiopian, etc.",French,Chinese,Amharic & Ethiopian,31703.0,23398.0,4210.0,3950.0,3650.0,37.4%,27.6%,5.0%,4.7%,4.3%,71164,0.839613974,1,Management Occupations,Business Operations Specialists,Science Occupations,Education Occupations,Legal Occupations,8285.0,3632.0,3426.0,2719.0,2177.0,0.247779399,0.108622186,0.102461345,0.081317104,0.065107517,Management Occupations,Business Operations Specialists,Legal Occupations,Education Occupations,Computer Occupations,47334,37611,25458,16055,13482,0.203071773,0.161358267,0.109219618,0.068878971,0.057840317,Food Service Occupations,Grounds Maintenance Occupations,,,,4204.0,3022.0,,,,0.174490511,0.125430629,,,,Office Administrative Occupations,Food Service Occupations,Sales-Related Occupations,Management Occupations,Transportation and Material Moving Occupations,15292,10694,8855,7894,7570,0.157696635,0.110280395,0.091315962,0.081405781,0.078064576
9,Florida,520,521,FL,Florida,Cuba,Haiti,Colombia,Mexico,Venezuela,1040032.0,356045.0,294743.0,265138.0,233635.0,0.229927093,0.078713343,0.065160885,0.058615901,0.051651314,Cuba,Venezuela,Colombia,Haiti,Brazil,171026.0,117170.0,53600.0,45308.0,39745.0,0.203876153,0.139675662,0.063895322,0.054010622,0.047379099,Spanish,English,French,Portuguese,Hindi and related,French,2523162.0,845557.0,386910.0,97715.0,82576.0,56.1%,18.8%,8.6%,2.2%,1.8%,3326858,0.739973485,0,Management Occupations,Healthcare Occupations,Sales-Related Occupations,Education Occupations,Office Administrative Occupations,133229.0,128387.0,83742.0,64933.0,64056.0,0.154845774,0.149218157,0.097329378,0.075468563,0.074449264,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,403588,300244,290777,228481,182067,0.170296907,0.126690149,0.122695483,0.096409231,0.076824501,Grounds Maintenance Occupations,Construction and Extraction Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Office Administrative Occupations,205149.0,203708.0,194744.0,191341.0,181880.0,0.111763529,0.110978484,0.106094971,0.104241043,0.099086769,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Management Occupations,728690,669122,460250,442848,415174,0.146607861,0.13462314,0.092599414,0.089098237,0.083530404
10,Georgia,520,468,GA,Georgia,Mexico,India,Vietnam,Jamaica,Guatemala,232541.0,103213.0,52964.0,46711.0,40686.0,0.214609712,0.095254228,0.048879936,0.043109104,0.037548695,India,Mexico,Guatemala,China,Venezuela,31825.0,25920.0,14465.0,10891.0,10189.0,0.151700035,0.12355271,0.068950228,0.051914066,0.048567846,Spanish,English,Hindi and related,Vietnamese,Sub-Saharan Africa,Hindi,398462.0,227820.0,78043.0,48713.0,40660.0,37.0%,21.1%,7.2%,4.5%,3.8%,833339,0.772991538,1,Management Occupations,Computer Occupations,Healthcare Occupations,Education Occupations,Sales-Related Occupations,43902.0,39068.0,28431.0,25007.0,17861.0,0.168150201,0.149635375,0.108894318,0.09577997,0.068409882,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,268374,228499,154493,130606,113301,0.176302493,0.150107473,0.101490833,0.085798785,0.074430637,Construction and Extraction Occupations,Production Occupations,Transportation and Material Moving Occupations,Grounds Maintenance Occupations,Food Service Occupations,70663.0,53278.0,48670.0,39936.0,36374.0,0.163008779,0.122904226,0.112274274,0.092126265,0.083909273,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Production Occupations,Food Service Occupations,387120,348016,325981,226618,222354,0.136927426,0.123096034,0.115302078,0.080156595,0.078648381
11,Hawaii,100,521,HI,Hawaii,Philippines,Japan,China,Korea,Micronesia,125404.0,21231.0,15212.0,15061.0,11906.0,0.465410769,0.078794427,0.056456164,0.055895757,0.044186633,Philippines,Japan,Micronesia,China,,14054.0,4434.0,4108.0,1580.0,,0.3563568,0.112429634,0.104163498,0.040062882,,"Filipino, Tagalog",English,"Micronesian, Polynesian",Chinese,Japanese,Filipino,110741.0,47321.0,21236.0,20427.0,17858.0,41.4%,17.7%,7.9%,7.6%,6.7%,213953,0.799405932,1,Healthcare Occupations,Management Occupations,Education Occupations,Office Administrative Occupations,Sales-Related Occupations,8921.0,4508.0,4126.0,3899.0,2987.0,0.2103315,0.106285661,0.097279198,0.091927193,0.070424862,Management Occupations,Education Occupations,Healthcare Occupations,Office Administrative Occupations,Sales-Related Occupations,30494,24767,24134,17574,16633,0.156477392,0.127089769,0.123841584,0.090179496,0.085350834,Grounds Maintenance Occupations,Food Service Occupations,Office Administrative Occupations,Sales-Related Occupations,Healthcare Occupations,18130.0,13471.0,11934.0,10998.0,8247.0,0.163412824,0.12141943,0.107565843,0.099129304,0.074333459,Office Administrative Occupations,Sales-Related Occupations,Food Service Occupations,Transportation and Material Moving Occupations,Management Occupations,44622,42505,33690,32820,32061,0.119743995,0.11406298,0.090407759,0.088073097,0.08603631
12,Idaho,160,256,ID,Idaho,Mexico,Canada,China,Philippines,Germany,42656.0,6813.0,2667.0,1947.0,1753.0,0.457093865,0.073006861,0.028579082,0.020863695,0.018784827,,,,,,,,,,,,,,,,Spanish,English,Chinese,,,Chinese,47209.0,22959.0,4836.0,,,50.6%,24.6%,5.2%,,,74034,0.7936919930000000,1,,,,,,,,,,,,,,,,Education Occupations,Management Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,34893,34403,29221,17550,17376,0.155572295,0.153387606,0.130283386,0.078247607,0.077471823,Transportation and Material Moving Occupations,Agricultural Occupations,Construction and Extraction Occupations,Production Occupations,Food Service Occupations,6157.0,5746.0,5522.0,5129.0,4793.0,0.128689066,0.12009865,0.115416773,0.107202575,0.100179754,Office Administrative Occupations,Sales-Related Occupations,Transportation and Material Moving Occupations,Management Occupations,Food Service Occupations,81756,67813,56843,51229,47755,0.145201251,0.120438039,0.100954972,0.09098433,0.084814399
13,Illinois,400,256,IL,Illinois,Mexico,India,Poland,Philippines,China,599327.0,156360.0,120839.0,92625.0,84815.0,0.340229183,0.088763289,0.068598539,0.052581862,0.048148237,India,Mexico,China,Philippines,Venezuela,47274.0,31897.0,20727.0,11714.0,5744.0,0.195296273,0.131771475,0.085626468,0.048392359,0.02372936,Spanish,English,Hindi and related,Polish,Chinese,Hindi,695564.0,224311.0,128725.0,113628.0,87759.0,39.7%,12.8%,7.3%,6.5%,5.0%,1354383,0.772941113,1,Healthcare Occupations,Management Occupations,Computer Occupations,Education Occupations,Sales-Related Occupations,68034.0,57318.0,50938.0,36390.0,25051.0,0.161491245,0.136054844,0.120910734,0.086378373,0.059463166,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,377863,272658,218284,184493,155117,0.181378275,0.130878747,0.104778647,0.088558607,0.074457817,Production Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Grounds Maintenance Occupations,Construction and Extraction Occupations,109656.0,105079.0,71041.0,66319.0,61382.0,0.158871308,0.152240083,0.102925301,0.096083999,0.088931195,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,Production Occupations,437218,366132,353042,275146,240740,0.139695853,0.116983116,0.112800717,0.087912112,0.076919019
14,Indiana,400,309,IN,Indiana,Mexico,India,China,Burma (Myanmar),Philippines,96058.0,34991.0,19593.0,14241.0,12518.0,0.266771466,0.097176708,0.054413512,0.039549984,0.034764882,India,Mexico,China,Venezuela,Nigeria,13331.0,11253.0,7971.0,4813.0,4448.0,0.166894093,0.140879095,0.099790931,0.060255144,0.055685617,Spanish,English,Hindi and related,Chinese,"Burmese, Lisu, Lolo",Hindi,120840.0,79233.0,29178.0,19406.0,16643.0,34.0%,22.3%,8.2%,5.5%,4.7%,290360,0.816652536,1,Management Occupations,Education Occupations,Healthcare Occupations,Computer Occupations,Science Occupations,12153.0,12043.0,10547.0,7997.0,5712.0,0.14662838,0.145301208,0.12725167,0.096485406,0.068916425,Management Occupations,Education Occupations,Healthcare Occupations,Sales-Related Occupations,Office Administrative Occupations,144937,129050,112827,67915,66560,0.163610891,0.145676985,0.127363801,0.076665267,0.075135686,Production Occupations,Transportation and Material Moving Occupations,Food Service Occupations,Office Administrative Occupations,Construction and Extraction Occupations,28388.0,17364.0,14153.0,13248.0,12658.0,0.211121276,0.129135892,0.105255723,0.098525248,0.094137423,Production Occupations,Office Administrative Occupations,Transportation and Material Moving Occupations,Sales-Related Occupations,Healthcare Occupations,284005,274444,261042,221149,172807,0.13066712,0.126268238,0.120102137,0.10174787,0.079506323
